                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0189,                0.98555,                0.91065,                0.64757,                0.54801,                0.60841,                0.44537,                0.99171,                 1.0672,                0.91028,               0.003268,               0.003268,               0.003268
                     36,                 1.0108,                0.98185,                0.90822,                0.67426,                 0.5455,                0.61414,                0.45006,                0.99469,                 1.0549,                0.90845,                0.00307,                0.00307,                0.00307
                     37,                 1.0078,                0.96666,                0.90855,                0.66033,                0.58145,                 0.6137,                0.45047,                0.98849,                 1.0646,                0.91106,               0.002872,               0.002872,               0.002872
                     38,                0.99339,                0.95862,                0.90638,                0.63275,                0.58546,                0.62624,                0.46502,                0.97804,                 1.0458,                0.90675,               0.002674,               0.002674,               0.002674
                     39,                0.98994,                0.94903,                0.90431,                0.60288,                0.55758,                0.60355,                0.44462,                0.98824,                 1.0705,                0.90808,               0.002476,               0.002476,               0.002476
                     40,                0.95008,                0.89423,                0.89802,                0.61131,                0.56908,                0.61411,                0.45001,                 0.9907,                 1.0634,                0.90908,               0.002278,               0.002278,               0.002278
                     41,                0.93834,                0.87614,                0.89367,                 0.6417,                0.53697,                0.60277,                0.44526,                0.98695,                 1.0776,                0.90807,                0.00208,                0.00208,                0.00208
                     42,                0.93687,                0.85989,                0.89528,                0.65716,                0.53818,                0.61343,                0.45253,                0.98338,                   1.04,                0.90677,               0.001882,               0.001882,               0.001882
                     43,                0.93232,                0.83524,                0.89312,                  0.639,                0.56075,                0.61833,                0.46241,                0.97176,                 1.0431,                0.90598,               0.001684,               0.001684,               0.001684
                     44,                0.92067,                0.80928,                0.89042,                0.58536,                0.59256,                0.61655,                0.45918,                 0.9832,                  1.042,                0.90706,               0.001486,               0.001486,               0.001486
                     45,                0.92288,                0.79474,                0.88788,                 0.6119,                0.59936,                0.62924,                0.47067,                0.97003,                 1.0273,                0.90307,               0.001288,               0.001288,               0.001288
                     46,                0.90949,                0.78669,                0.88597,                0.61017,                0.57693,                0.61722,                0.46214,                0.97484,                  1.047,                 0.9044,                0.00109,                0.00109,                0.00109
                     47,                0.90533,                0.76558,                0.88549,                 0.6339,                0.59203,                0.62878,                0.47015,                0.96938,                   1.03,                0.90367,               0.000892,               0.000892,               0.000892
                     48,                0.89665,                 0.7527,                0.88434,                0.61786,                 0.5872,                0.62566,                0.46728,                 0.9679,                 1.0303,                0.90262,               0.000694,               0.000694,               0.000694
                     49,                0.89235,                0.73453,                0.88374,                0.59683,                0.60807,                0.62993,                 0.4716,                0.97037,                 1.0305,                0.90259,               0.000496,               0.000496,               0.000496
