                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94482,                0.72627,                0.88736,                 0.7359,                0.71361,                0.75581,                0.56654,                0.96848,                0.80936,                0.88678,              0.0033313,              0.0033313,              0.0033313
                      2,                 0.9784,                0.78843,                0.89615,                0.72795,                0.69435,                0.74111,                 0.5482,                0.99152,                0.84754,                0.89243,              0.0066317,              0.0066317,              0.0066317
                      3,                 1.0365,                 0.9014,                0.91109,                0.66787,                0.64816,                0.67753,                0.48698,                 1.0753,                0.98889,                0.92093,               0.009899,               0.009899,               0.009899
                      4,                 1.1023,                 1.0298,                 0.9317,                 0.6634,                0.65022,                0.67888,                0.48896,                 1.0568,                0.98299,                0.91502,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1115,                 1.0357,                0.93283,                0.66402,                0.66495,                 0.6963,                0.50414,                 1.0542,                 0.9442,                0.91449,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1061,                  1.029,                0.93023,                0.70092,                0.67548,                 0.7059,                0.51411,                 1.0317,                0.92071,                0.90623,               0.009802,               0.009802,               0.009802
                      7,                 1.1026,                 1.0256,                0.93058,                0.70457,                0.67471,                0.71433,                0.52315,                 1.0145,                0.89577,                0.90325,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.0975,                 1.0164,                0.92954,                0.69692,                0.69125,                0.72364,                0.53181,                  1.007,                0.87828,                0.90092,               0.009703,               0.009703,               0.009703
                      9,                 1.0935,                 1.0092,                0.92757,                0.71998,                0.69374,                0.73541,                0.54165,                 1.0047,                0.85425,                0.90115,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.0873,                 1.0036,                 0.9265,                 0.7007,                0.69893,                0.73636,                0.54451,                0.99583,                0.84393,                0.89751,               0.009604,               0.009604,               0.009604
                     11,                 1.0857,                0.99714,                0.92594,                 0.7177,                0.69531,                0.74224,                 0.5502,                 0.9888,                0.83131,                0.89598,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.0847,                0.99146,                0.92636,                0.73526,                0.69073,                 0.7437,                0.55254,                0.98417,                0.82344,                0.89482,               0.009505,               0.009505,               0.009505
                     13,                 1.0797,                 0.9895,                 0.9247,                0.72409,                0.70063,                0.74619,                0.55472,                0.97912,                0.81423,                0.89327,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.0765,                0.98653,                0.92228,                0.73469,                0.69716,                0.75025,                0.55831,                0.97392,                0.81237,                0.89121,               0.009406,               0.009406,               0.009406
                     15,                 1.0792,                 0.9814,                0.92451,                0.72793,                0.71105,                0.75206,                0.56091,                0.97112,                0.80369,                 0.8907,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.0765,                0.97996,                0.92228,                0.73483,                0.70767,                0.75522,                0.56418,                0.96949,                0.80112,                0.88969,               0.009307,               0.009307,               0.009307
                     17,                 1.0742,                0.97486,                0.92294,                0.73162,                0.71263,                0.75574,                0.56506,                0.96702,                0.79991,                0.88941,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.0711,                0.97271,                0.92165,                0.72965,                0.71352,                0.75622,                0.56492,                 0.9648,                 0.7993,                0.88901,               0.009208,               0.009208,               0.009208
                     19,                 1.0719,                0.96997,                0.92215,                 0.7328,                0.70711,                0.75606,                0.56509,                0.96386,                0.79782,                0.88888,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0701,                0.97082,                0.92129,                0.74192,                0.70054,                0.75586,                0.56543,                0.96252,                0.79655,                0.88851,               0.009109,               0.009109,               0.009109
                     21,                 1.0684,                0.96614,                0.92082,                0.73432,                0.71122,                0.75676,                0.56616,                0.96124,                0.79507,                0.88829,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0675,                0.95847,                0.92101,                0.72802,                0.71705,                0.75746,                0.56667,                0.95991,                0.79338,                0.88783,                0.00901,                0.00901,                0.00901
                     23,                  1.068,                 0.9596,                0.92103,                0.72555,                 0.7192,                0.75764,                0.56687,                 0.9589,                0.79215,                0.88756,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.0655,                0.95894,                0.92021,                0.72809,                0.71655,                0.75813,                 0.5673,                 0.9579,                0.79137,                0.88724,               0.008911,               0.008911,               0.008911
                     25,                 1.0636,                 0.9588,                0.91964,                0.73251,                0.71501,                0.75818,                0.56742,                0.95722,                0.79041,                0.88707,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.065,                0.95746,                   0.92,                 0.7314,                0.71594,                0.75816,                0.56749,                0.95687,                0.79026,                0.88698,               0.008812,               0.008812,               0.008812
                     27,                 1.0607,                 0.9502,                0.91843,                 0.7318,                0.71719,                0.75869,                 0.5679,                0.95582,                0.79007,                0.88673,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0614,                0.94832,                0.91968,                0.72798,                0.72271,                0.75872,                0.56797,                 0.9553,                0.78962,                 0.8865,               0.008713,               0.008713,               0.008713
                     29,                 1.0607,                0.94807,                0.91889,                0.72679,                0.72342,                0.75892,                0.56903,                0.95479,                0.78932,                0.88644,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0572,                0.94676,                0.91778,                0.73225,                0.72028,                0.75971,                0.56915,                0.95423,                0.78801,                0.88623,               0.008614,               0.008614,               0.008614
                     31,                 1.0582,                0.94322,                 0.9183,                0.72275,                0.72594,                0.75988,                0.56927,                0.95419,                0.78767,                0.88619,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.0584,                0.94764,                0.91807,                0.72301,                0.72398,                0.75979,                0.56954,                0.95403,                0.78718,                0.88617,               0.008515,               0.008515,               0.008515
                     33,                 1.0584,                0.94245,                0.91843,                0.72148,                0.72808,                0.76024,                0.56939,                0.95397,                0.78614,                0.88609,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0552,                0.93884,                 0.9166,                0.72531,                0.72327,                0.76082,                0.57019,                0.95344,                0.78547,                0.88594,               0.008416,               0.008416,               0.008416
                     35,                 1.0547,                0.93994,                0.91648,                0.72768,                0.72081,                0.76117,                 0.5709,                0.95303,                0.78435,                0.88579,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0543,                0.93709,                0.91703,                0.72925,                0.72142,                0.76151,                0.57147,                0.95264,                0.78338,                0.88571,               0.008317,               0.008317,               0.008317
                     37,                 1.0516,                0.93809,                0.91544,                0.73527,                0.71693,                0.76181,                0.57191,                 0.9519,                0.78295,                0.88543,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0533,                0.93555,                0.91744,                0.73529,                0.71922,                0.76248,                0.57274,                0.95132,                0.78208,                 0.8853,               0.008218,               0.008218,               0.008218
                     39,                 1.0512,                0.93485,                0.91688,                0.73758,                0.71596,                0.76321,                0.57329,                0.95068,                0.78131,                0.88517,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0498,                0.93146,                0.91587,                0.73153,                0.72313,                0.76361,                0.57447,                0.95029,                0.78097,                  0.885,               0.008119,               0.008119,               0.008119
                     41,                 1.0471,                0.93023,                0.91498,                0.73128,                 0.7248,                0.76396,                0.57459,                0.95016,                0.78012,                 0.8849,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0484,                0.92492,                0.91482,                0.73814,                0.72164,                0.76473,                0.57505,                 0.9501,                 0.7796,                 0.8849,                0.00802,                0.00802,                0.00802
                     43,                 1.0485,                0.92405,                0.91424,                0.73767,                 0.7217,                 0.7651,                0.57544,                0.94958,                 0.7793,                0.88473,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0445,                0.92175,                0.91415,                0.74365,                0.71696,                0.76548,                0.57625,                0.94866,                0.77879,                0.88447,               0.007921,               0.007921,               0.007921
                     45,                 1.0489,                0.92208,                0.91648,                0.74354,                0.71714,                0.76562,                0.57663,                0.94851,                0.77836,                0.88435,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0466,                0.92615,                0.91435,                0.74155,                 0.7228,                0.76592,                0.57686,                0.94785,                0.77746,                0.88412,               0.007822,               0.007822,               0.007822
                     47,                 1.0493,                0.92492,                 0.9155,                0.73351,                0.72812,                0.76643,                0.57752,                0.94757,                0.77623,                0.88411,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0417,                0.91552,                0.91416,                0.73666,                0.72354,                 0.7667,                0.57767,                0.94726,                0.77587,                0.88397,               0.007723,               0.007723,               0.007723
                     49,                 1.0454,                0.92056,                 0.9154,                0.73417,                0.72692,                0.76699,                0.57834,                0.94709,                0.77531,                0.88393,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0417,                0.91375,                0.91391,                0.73233,                0.72915,                 0.7676,                0.57875,                0.94654,                0.77512,                0.88392,               0.007624,               0.007624,               0.007624
                     51,                 1.0423,                0.91278,                0.91365,                0.73309,                0.72991,                0.76773,                0.57951,                0.94588,                0.77448,                0.88381,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0461,                0.91728,                0.91365,                0.73389,                 0.7287,                0.76791,                0.57977,                0.94569,                0.77389,                0.88369,               0.007525,               0.007525,               0.007525
                     53,                 1.0407,                0.91435,                0.91302,                  0.736,                0.72908,                0.76777,                0.58026,                0.94522,                0.77372,                0.88354,              0.0074755,              0.0074755,              0.0074755
                     54,                  1.041,                0.91166,                0.91412,                 0.7325,                0.73219,                0.76794,                0.58023,                0.94502,                0.77315,                0.88355,               0.007426,               0.007426,               0.007426
                     55,                 1.0425,                0.91424,                0.91356,                  0.732,                0.72986,                0.76817,                0.58045,                0.94471,                0.77232,                0.88339,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0381,                0.91068,                0.91302,                  0.735,                0.73055,                0.76836,                0.58013,                0.94431,                0.77197,                0.88341,               0.007327,               0.007327,               0.007327
                     57,                 1.0383,                0.90777,                0.91295,                0.73466,                0.73192,                0.76888,                0.58117,                0.94378,                 0.7713,                0.88334,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0352,                 0.9058,                0.91152,                0.73644,                0.73158,                0.76957,                 0.5814,                0.94359,                0.77111,                0.88317,               0.007228,               0.007228,               0.007228
                     59,                 1.0365,                0.90114,                 0.9117,                0.73645,                0.73339,                0.76977,                0.58152,                0.94374,                0.77058,                0.88317,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0331,                0.90443,                0.91136,                0.73692,                 0.7325,                0.77012,                0.58175,                0.94347,                 0.7701,                0.88309,               0.007129,               0.007129,               0.007129
                     61,                 1.0332,                0.89916,                0.91126,                0.73973,                 0.7306,                 0.7697,                0.58188,                0.94333,                0.76961,                0.88301,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0331,                0.89774,                0.91126,                0.73978,                0.73163,                0.76994,                0.58244,                0.94291,                0.76826,                 0.8829,                0.00703,                0.00703,                0.00703
                     63,                 1.0327,                0.90251,                0.91116,                0.74345,                 0.7308,                0.77039,                0.58229,                0.94274,                 0.7672,                0.88283,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0351,                0.89962,                0.91103,                0.74679,                0.72598,                0.77056,                0.58233,                0.94287,                0.76666,                0.88281,               0.006931,               0.006931,               0.006931
                     65,                   1.03,                0.89535,                0.91002,                0.74337,                0.73037,                 0.7709,                0.58276,                0.94262,                0.76626,                0.88274,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0302,                0.89526,                 0.9098,                0.73854,                0.73396,                0.77093,                0.58273,                0.94222,                0.76539,                0.88266,               0.006832,               0.006832,               0.006832
                     67,                  1.033,                0.89516,                0.91077,                 0.7397,                0.73098,                0.77102,                0.58266,                0.94242,                0.76541,                0.88266,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0308,                0.88887,                0.90997,                0.74062,                0.72992,                0.77077,                0.58264,                0.94253,                0.76518,                0.88262,               0.006733,               0.006733,               0.006733
                     69,                 1.0283,                0.88908,                 0.9095,                0.73976,                0.73012,                0.77095,                0.58327,                0.94258,                0.76457,                0.88264,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0267,                0.88503,                0.90879,                0.73607,                0.72974,                0.77076,                0.58321,                0.94211,                0.76376,                 0.8825,               0.006634,               0.006634,               0.006634
                     71,                 1.0272,                0.88516,                0.90978,                0.73732,                0.73059,                0.77063,                0.58356,                0.94198,                0.76363,                0.88245,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0288,                0.88526,                0.91005,                0.74008,                0.73075,                0.77061,                0.58332,                0.94166,                0.76329,                0.88244,               0.006535,               0.006535,               0.006535
                     73,                 1.0261,                0.88464,                0.90972,                0.74208,                0.73116,                0.77088,                0.58367,                0.94109,                0.76211,                 0.8824,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0243,                0.88341,                0.90941,                0.73739,                0.73621,                0.77125,                0.58387,                0.94068,                0.76169,                0.88223,               0.006436,               0.006436,               0.006436
                     75,                 1.0244,                0.87854,                0.91033,                 0.7347,                0.74046,                0.77199,                0.58435,                0.94004,                0.76112,                0.88197,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0236,                0.87868,                0.90839,                0.73763,                0.73836,                0.77243,                0.58509,                 0.9396,                0.76091,                0.88184,               0.006337,               0.006337,               0.006337
                     77,                 1.0227,                0.87646,                0.90899,                0.73552,                0.73894,                0.77265,                0.58538,                0.93904,                0.76001,                0.88181,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0213,                0.87425,                0.90771,                0.73747,                0.73413,                0.77317,                0.58602,                0.93914,                 0.7595,                0.88174,               0.006238,               0.006238,               0.006238
                     79,                 1.0203,                 0.8761,                 0.9067,                0.73867,                0.73287,                0.77349,                0.58596,                0.93882,                0.75873,                0.88163,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0214,                0.87662,                0.90696,                0.74373,                0.73147,                 0.7737,                0.58617,                0.93879,                0.75847,                0.88167,               0.006139,               0.006139,               0.006139
                     81,                 1.0201,                0.87113,                0.90714,                0.74705,                0.72906,                0.77396,                0.58632,                0.93851,                0.75815,                0.88164,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0204,                0.86947,                0.90671,                0.74376,                0.72875,                0.77395,                0.58678,                0.93805,                0.75751,                0.88133,                0.00604,                0.00604,                0.00604
                     83,                 1.0159,                0.86978,                0.90579,                0.74669,                0.72757,                0.77367,                0.58674,                0.93755,                0.75723,                0.88123,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0175,                0.87082,                0.90752,                0.74405,                0.72964,                0.77404,                0.58704,                0.93734,                0.75703,                0.88115,               0.005941,               0.005941,               0.005941
                     85,                 1.0155,                0.86557,                0.90677,                0.74758,                0.72788,                0.77429,                0.58687,                0.93669,                0.75656,                0.88095,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0159,                0.86653,                0.90557,                 0.7392,                0.73405,                0.77409,                0.58684,                0.93653,                0.75601,                  0.881,               0.005842,               0.005842,               0.005842
                     87,                 1.0166,                0.86133,                0.90586,                0.73748,                 0.7375,                0.77442,                0.58683,                0.93674,                0.75563,                0.88102,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0142,                0.86245,                0.90616,                0.74286,                0.73328,                0.77423,                0.58721,                0.93628,                0.75563,                0.88088,               0.005743,               0.005743,               0.005743
                     89,                  1.014,                0.86327,                0.90681,                0.73985,                0.73657,                0.77462,                0.58739,                0.93649,                0.75516,                0.88093,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.0119,                0.85856,                0.90555,                0.74402,                 0.7321,                0.77472,                0.58736,                0.93643,                0.75524,                0.88094,               0.005644,               0.005644,               0.005644
                     91,                  1.009,                0.85458,                0.90587,                0.74504,                0.73227,                0.77472,                0.58732,                0.93662,                0.75484,                0.88089,              0.0055945,              0.0055945,              0.0055945
