                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 1.0047,                 1.6955,                0.99129,                 1.1688,                0.82987,                0.42696,                0.51075,                0.34864,                 0.7869,                0.41181,                0.46253,                0.26884,                0.99117,                 1.6455,                0.98069,                 1.1802,               0.009109,               0.009109,               0.009109
                     11,                0.98295,                 1.6545,                0.96332,                 1.1563,                0.64945,                0.51585,                0.53265,                0.36112,                0.70699,                0.45595,                0.48105,                0.28247,                0.94791,                 1.4746,                0.93464,                 1.1341,                0.00901,                0.00901,                0.00901
                     12,                0.96647,                 1.6219,                0.94182,                 1.1458,                0.77191,                0.50614,                0.55452,                0.38167,                0.71513,                 0.4823,                0.51039,                0.30552,                0.89907,                 1.4211,                0.88615,                 1.1106,               0.008911,               0.008911,               0.008911
                     13,                0.95541,                 1.6093,                0.92348,                 1.1373,                0.65526,                0.52534,                 0.5516,                0.37206,                0.61428,                0.50314,                0.51423,                0.30066,                0.92691,                 1.3854,                0.91559,                 1.1381,               0.008812,               0.008812,               0.008812
                     14,                0.94819,                 1.5956,                0.90683,                 1.1336,                0.65431,                0.53762,                0.56241,                0.38943,                0.65589,                0.49915,                0.52204,                0.31302,                0.89285,                 1.3235,                0.84682,                 1.0895,               0.008713,               0.008713,               0.008713
                     15,                0.93262,                 1.5695,                0.88767,                 1.1267,                0.79319,                0.51971,                 0.5694,                0.40094,                0.77578,                0.49089,                  0.532,                 0.3272,                0.84712,                 1.2651,                0.80328,                  1.073,               0.008614,               0.008614,               0.008614
                     16,                0.92757,                 1.5593,                0.87854,                 1.1228,                0.69552,                0.53294,                0.57684,                0.40519,                0.66169,                0.50682,                0.53474,                0.32288,                0.85054,                  1.275,                0.81859,                 1.0888,               0.008515,               0.008515,               0.008515
                     17,                0.92346,                 1.5498,                0.87352,                 1.1232,                0.66214,                 0.5705,                0.59169,                0.40787,                0.63267,                0.54787,                0.54735,                0.33206,                0.85213,                 1.2478,                0.80201,                 1.0698,               0.008416,               0.008416,               0.008416
                     18,                0.90513,                  1.519,                0.85399,                 1.1124,                0.71193,                 0.5555,                0.59061,                0.41964,                0.68799,                0.52397,                0.54693,                0.33065,                0.83501,                 1.2385,                0.78831,                 1.0673,               0.008317,               0.008317,               0.008317
                     19,                 0.9041,                 1.5039,                0.85223,                 1.1114,                0.69522,                0.56333,                0.59152,                 0.4212,                0.66405,                 0.5262,                0.54225,                0.33558,                0.81676,                 1.2452,                0.78309,                 1.0559,               0.008218,               0.008218,               0.008218
                     20,                0.90028,                 1.5042,                 0.8416,                  1.105,                0.67594,                0.56077,                0.59618,                0.42295,                0.62482,                 0.5274,                0.54451,                0.33163,                 0.8335,                 1.2681,                0.76848,                 1.0647,               0.008119,               0.008119,               0.008119
                     21,                0.88422,                 1.4904,                0.82683,                 1.0983,                0.67543,                0.58201,                0.59755,                0.41816,                0.65025,                0.55198,                0.55524,                0.33694,                0.84092,                 1.2739,                0.79745,                 1.0724,                0.00802,                0.00802,                0.00802
                     22,                0.87956,                 1.4699,                0.82054,                 1.0968,                0.66079,                 0.5694,                0.60696,                0.43809,                0.63339,                0.52713,                0.54803,                0.34429,                0.78378,                 1.1963,                0.75822,                 1.0389,               0.007921,               0.007921,               0.007921
                     23,                0.87522,                 1.4489,                0.81303,                  1.093,                0.66814,                0.57831,                0.60577,                0.43708,                0.66713,                0.53875,                0.56208,                0.34829,                0.76817,                 1.1811,                0.73191,                 1.0256,               0.007822,               0.007822,               0.007822
                     24,                0.86586,                  1.461,                0.80502,                 1.0896,                0.68782,                0.57552,                0.61084,                0.43284,                0.61747,                0.54312,                0.55026,                0.34657,                0.77851,                 1.1645,                0.71837,                 1.0301,               0.007723,               0.007723,               0.007723
                     25,                 0.8602,                 1.4389,                0.79455,                 1.0845,                0.64352,                0.59657,                0.61678,                0.44263,                0.76805,                0.50665,                0.56115,                0.35113,                0.77758,                 1.1674,                0.72532,                 1.0335,               0.007624,               0.007624,               0.007624
                     26,                0.85588,                   1.44,                0.79229,                 1.0842,                0.62521,                0.57789,                0.61592,                0.44434,                 0.6006,                0.55352,                0.57069,                0.35975,                0.76264,                 1.1353,                0.70848,                 1.0209,               0.007525,               0.007525,               0.007525
                     27,                0.84761,                 1.4137,                0.78558,                 1.0791,                 0.5972,                0.59873,                0.61749,                0.44974,                0.68539,                0.53338,                0.57027,                0.36112,                0.75502,                 1.1106,                 0.6959,                 1.0142,               0.007426,               0.007426,               0.007426
                     28,                0.84681,                 1.3986,                0.78191,                 1.0765,                0.63628,                0.60027,                0.62154,                0.45284,                0.58133,                0.57704,                0.57403,                0.36414,                0.75148,                 1.1058,                0.70191,                 1.0043,               0.007327,               0.007327,               0.007327
                     29,                 0.8447,                  1.419,                0.77336,                 1.0779,                0.58927,                0.61764,                0.62279,                0.45281,                0.55119,                0.57598,                0.57739,                0.36733,                0.74745,                 1.1183,                0.70109,                 1.0127,               0.007228,               0.007228,               0.007228
                     30,                0.83784,                 1.3986,                 0.7733,                  1.074,                0.61242,                0.63716,                 0.6343,                 0.4595,                0.57438,                0.57929,                0.57179,                0.36081,                0.73306,                 1.1212,                0.67897,                0.99762,               0.007129,               0.007129,               0.007129
                     31,                0.83524,                 1.3933,                0.76584,                 1.0721,                0.64092,                0.62627,                 0.6346,                0.46315,                0.60988,                0.58538,                0.58576,                0.36823,                0.73773,                  1.114,                0.67932,                 1.0048,                0.00703,                0.00703,                0.00703
                     32,                0.83357,                 1.3825,                0.77017,                 1.0744,                0.65453,                0.62135,                0.64541,                0.46838,                0.58875,                0.58539,                0.58583,                0.37392,                0.73303,                 1.0831,                0.67908,                 0.9983,               0.006931,               0.006931,               0.006931
                     33,                0.82677,                   1.38,                0.75553,                 1.0675,                0.65524,                 0.5971,                0.62531,                0.45416,                0.66025,                 0.5406,                0.56702,                0.35959,                0.75041,                 1.1122,                0.69274,                  1.008,               0.006832,               0.006832,               0.006832
                     34,                0.82231,                 1.3826,                0.75475,                 1.0649,                0.61902,                0.63178,                0.63719,                0.47073,                0.64007,                0.56717,                0.59233,                0.37527,                0.70799,                 1.0855,                0.65957,                0.98264,               0.006733,               0.006733,               0.006733
                     35,                0.81866,                 1.3563,                 0.7498,                 1.0613,                0.63592,                0.63836,                0.64902,                0.47402,                0.62857,                0.59802,                   0.59,                0.38109,                0.72207,                 1.0698,                0.66338,                0.99383,               0.006634,               0.006634,               0.006634
                     36,                0.81417,                 1.3541,                0.74354,                 1.0601,                0.64646,                0.63515,                0.64555,                0.47564,                0.66286,                0.55748,                 0.5857,                0.37854,                0.70833,                 1.0725,                0.65904,                0.98532,               0.006535,               0.006535,               0.006535
                     37,                0.80845,                 1.3434,                0.73551,                 1.0569,                0.65548,                0.64244,                0.64928,                0.47911,                0.59846,                 0.5905,                0.58569,                0.38073,                0.70681,                 1.0356,                0.65105,                0.98427,               0.006436,               0.006436,               0.006436
                     38,                0.80642,                 1.3314,                0.73379,                 1.0556,                0.67087,                0.63176,                0.65294,                0.48276,                0.63607,                0.58563,                0.59654,                0.38865,                0.69727,                 1.0503,                0.65003,                0.97926,               0.006337,               0.006337,               0.006337
                     39,                0.80547,                 1.3477,                0.73045,                 1.0549,                0.65312,                0.63738,                 0.6541,                0.48387,                0.61275,                0.57136,                 0.5879,                0.38171,                0.70604,                 1.0518,                0.63545,                0.98215,               0.006238,               0.006238,               0.006238
                     40,                0.79986,                 1.3376,                0.72689,                 1.0528,                0.63679,                0.64796,                0.65167,                0.48168,                0.60765,                 0.5965,                0.59561,                0.38666,                0.70303,                 1.0481,                0.63601,                0.97714,               0.006139,               0.006139,               0.006139
                     41,                0.79605,                 1.3282,                0.72337,                 1.0489,                 0.6434,                 0.6538,                0.65667,                0.48172,                0.64475,                0.58784,                0.59661,                0.38535,                0.70211,                 1.0312,                0.63405,                0.97693,                0.00604,                0.00604,                0.00604
                     42,                0.79464,                 1.3195,                 0.7215,                 1.0489,                0.65702,                 0.6434,                 0.6549,                0.48384,                0.64916,                0.58338,                0.59827,                0.38877,                0.68968,                 1.0488,                0.63618,                0.97381,               0.005941,               0.005941,               0.005941
                     43,                0.78935,                 1.3178,                0.71657,                 1.0481,                0.67413,                0.63777,                0.66126,                0.49112,                0.65818,                0.58605,                0.60468,                 0.3941,                0.68494,                 1.0304,                0.62085,                0.97517,               0.005842,               0.005842,               0.005842
                     44,                0.79002,                 1.3063,                0.71086,                 1.0471,                0.70476,                0.63262,                0.65829,                0.48716,                0.64299,                0.59897,                0.60116,                0.39217,                0.68642,                 1.0082,                0.62766,                0.97012,               0.005743,               0.005743,               0.005743
                     45,                0.78918,                 1.3012,                0.71232,                 1.0467,                0.66884,                0.65181,                0.66156,                0.49138,                0.62631,                0.60696,                0.60598,                0.39207,                0.68103,                 1.0158,                0.61766,                0.96943,               0.005644,               0.005644,               0.005644
                     46,                0.78254,                 1.3039,                0.70772,                 1.0437,                  0.717,                0.63957,                0.67068,                0.49967,                0.65511,                0.59551,                0.60767,                0.39668,                0.67853,                 1.0064,                0.61526,                0.96889,               0.005545,               0.005545,               0.005545
                     47,                0.77745,                 1.2922,                0.70161,                 1.0406,                0.65722,                0.66191,                0.67405,                0.49779,                0.64661,                0.59568,                0.60593,                0.39398,                0.67566,                 1.0233,                  0.614,                0.96611,               0.005446,               0.005446,               0.005446
                     48,                0.77588,                 1.3005,                0.70223,                 1.0388,                 0.7051,                0.64389,                0.67062,                0.49782,                0.64601,                0.61051,                0.61204,                0.39824,                0.66573,                0.99198,                0.60859,                0.96033,               0.005347,               0.005347,               0.005347
                     49,                0.77356,                 1.2882,                0.69521,                 1.0378,                0.68422,                0.64733,                0.67275,                0.49582,                0.61365,                0.60348,                0.60909,                0.39708,                0.67626,                0.98433,                0.60899,                0.96185,               0.005248,               0.005248,               0.005248
                     50,                0.77301,                 1.2827,                0.69772,                  1.037,                 0.6638,                0.66173,                0.67248,                0.50409,                0.63725,                0.60839,                0.61781,                0.40296,                0.65952,                 0.9821,                0.59781,                0.95524,               0.005149,               0.005149,               0.005149
                     51,                0.76661,                 1.2746,                0.69577,                 1.0335,                0.68363,                0.63988,                0.67055,                0.50171,                0.66765,                0.59863,                0.61424,                0.40064,                0.65598,                0.98066,                0.59508,                0.95471,                0.00505,                0.00505,                0.00505
                     52,                0.76273,                   1.27,                0.68612,                 1.0342,                0.67423,                 0.6508,                 0.6701,                0.50333,                0.64959,                 0.6037,                0.61291,                0.40288,                0.65023,                0.96918,                 0.6002,                0.95243,               0.004951,               0.004951,               0.004951
                     53,                0.75682,                 1.2642,                0.68561,                 1.0305,                0.70379,                   0.64,                0.67524,                0.50821,                0.63589,                0.60436,                0.61218,                0.40364,                0.65451,                0.97932,                0.59582,                0.95063,               0.004852,               0.004852,               0.004852
                     54,                0.75772,                 1.2626,                0.68454,                  1.031,                0.67762,                0.65407,                0.67302,                0.50782,                0.65064,                0.61073,                0.61789,                0.40646,                0.65458,                0.96869,                0.59511,                0.95349,               0.004753,               0.004753,               0.004753
                     55,                0.75415,                 1.2617,                0.67975,                 1.0279,                0.69844,                0.64846,                0.67793,                 0.5097,                0.65177,                0.61353,                0.62021,                0.41061,                0.64117,                0.96651,                 0.5862,                0.94331,               0.004654,               0.004654,               0.004654
                     56,                0.75323,                 1.2539,                0.67692,                  1.027,                0.68858,                0.65504,                0.67483,                0.50918,                0.65101,                 0.6088,                0.62022,                0.40972,                0.63501,                0.96251,                0.58813,                0.94033,               0.004555,               0.004555,               0.004555
                     57,                0.75047,                 1.2487,                0.67474,                 1.0259,                0.71191,                0.64042,                0.67806,                0.51034,                0.65412,                0.60655,                 0.6199,                0.41055,                0.63065,                 0.9608,                 0.5837,                0.93819,               0.004456,               0.004456,               0.004456
                     58,                0.74637,                 1.2458,                0.67121,                 1.0249,                0.68941,                0.65965,                 0.6808,                0.51355,                0.64427,                0.62194,                0.62484,                0.41474,                0.63417,                0.95099,                0.57783,                0.94186,               0.004357,               0.004357,               0.004357
                     59,                0.74606,                 1.2367,                0.67298,                  1.024,                0.68494,                0.65925,                0.67918,                0.51179,                0.65783,                0.60214,                0.61671,                0.41019,                0.62929,                0.94843,                0.57864,                0.93705,               0.004258,               0.004258,               0.004258
                     60,                0.74509,                 1.2362,                0.66895,                 1.0238,                0.69291,                0.65716,                0.67627,                0.51281,                0.65039,                0.61602,                0.62114,                0.41172,                0.62708,                0.94552,                0.57774,                0.93856,               0.004159,               0.004159,               0.004159
                     61,                0.74194,                 1.2297,                0.66482,                 1.0212,                0.67796,                0.66633,                0.67998,                0.51526,                0.65882,                0.59536,                0.61496,                0.41063,                0.62154,                0.94726,                 0.5744,                0.93313,                0.00406,                0.00406,                0.00406
                     62,                0.73957,                 1.2206,                0.66054,                 1.0206,                0.68182,                0.66222,                0.68045,                0.51656,                0.65494,                0.61545,                0.62475,                0.41614,                0.62051,                0.94324,                0.57004,                0.93007,               0.003961,               0.003961,               0.003961
                     63,                 0.7363,                  1.219,                0.65945,                 1.0191,                0.68924,                0.66827,                0.68126,                0.51793,                0.64223,                0.62276,                0.62717,                0.41918,                0.62233,                0.94639,                0.56861,                 0.9321,               0.003862,               0.003862,               0.003862
                     64,                0.72995,                 1.2068,                0.65726,                 1.0158,                0.68719,                0.65486,                0.67989,                0.51888,                0.62364,                0.61749,                0.61948,                0.41338,                0.61543,                0.93916,                0.56693,                0.93061,               0.003763,               0.003763,               0.003763
                     65,                0.72808,                 1.2131,                0.65434,                 1.0149,                0.68299,                0.66342,                0.68659,                0.52127,                0.63474,                0.61883,                0.61976,                  0.415,                0.61756,                0.93365,                0.56516,                0.92927,               0.003664,               0.003664,               0.003664
                     66,                0.73147,                 1.2238,                0.65643,                 1.0149,                0.69605,                0.66338,                0.68737,                0.52244,                0.63934,                0.61305,                 0.6229,                0.41698,                0.61401,                0.93355,                0.56605,                0.92966,               0.003565,               0.003565,               0.003565
                     67,                0.72875,                 1.2129,                0.65121,                 1.0156,                0.69698,                0.66338,                0.68735,                0.52262,                0.65757,                0.61594,                0.62423,                0.41785,                 0.6081,                0.93736,                0.55988,                 0.9274,               0.003466,               0.003466,               0.003466
                     68,                0.72286,                 1.1972,                 0.6458,                 1.0109,                0.66234,                0.67942,                0.68927,                0.52477,                0.63651,                0.61951,                0.62632,                0.41873,                0.60963,                0.92571,                0.55566,                0.92649,               0.003367,               0.003367,               0.003367
                     69,                0.72129,                  1.196,                0.64658,                 1.0114,                0.67261,                0.68133,                0.69079,                0.52527,                0.64533,                0.61306,                0.62579,                0.41963,                0.60755,                0.92557,                0.55838,                0.92357,               0.003268,               0.003268,               0.003268
                     70,                0.71885,                 1.1949,                0.64021,                 1.0106,                0.70464,                0.67007,                0.69064,                0.52443,                0.65312,                0.62068,                0.63096,                0.42166,                0.60778,                0.93161,                0.55594,                0.92342,               0.003169,               0.003169,               0.003169
                     71,                0.71104,                 1.1835,                0.63662,                 1.0065,                0.69615,                0.67028,                0.68948,                0.52416,                0.64704,                0.62608,                0.62851,                0.41985,                0.60671,                 0.9242,                0.55152,                0.92298,                0.00307,                0.00307,                0.00307
                     72,                0.71209,                 1.1903,                0.63718,                  1.007,                0.70469,                0.66728,                0.68887,                0.52615,                0.63594,                0.62394,                0.62277,                0.42096,                0.60044,                0.92698,                0.54911,                0.92119,               0.002971,               0.002971,               0.002971
                     73,                0.70881,                 1.1781,                0.63167,                 1.0041,                0.68669,                0.67213,                0.68848,                0.52546,                0.65101,                0.61317,                0.62458,                0.42197,                0.59556,                0.92194,                0.55334,                0.91869,               0.002872,               0.002872,               0.002872
                     74,                0.70822,                 1.1824,                0.63371,                 1.0066,                0.69711,                0.67397,                0.68971,                0.52659,                0.64476,                0.62257,                0.62576,                0.42019,                 0.5963,                0.91972,                0.55019,                0.91778,               0.002773,               0.002773,               0.002773
                     75,                0.70324,                 1.1787,                0.62584,                 1.0036,                0.68469,                 0.6834,                0.68851,                0.52714,                0.64673,                 0.6239,                0.62853,                 0.4212,                0.59746,                0.91749,                0.54871,                0.91845,               0.002674,               0.002674,               0.002674
                     76,                0.70429,                 1.1661,                0.62807,                 1.0019,                 0.7046,                0.66884,                0.69102,                 0.5286,                0.66303,                0.61824,                0.62851,                0.42003,                0.59681,                0.91933,                0.54666,                0.91747,               0.002575,               0.002575,               0.002575
                     77,                0.70065,                 1.1624,                0.62321,                 1.0033,                0.69751,                0.66386,                0.68885,                0.52801,                0.67052,                0.61312,                0.63056,                 0.4214,                 0.5994,                0.92446,                0.55036,                0.91828,               0.002476,               0.002476,               0.002476
                     78,                0.69656,                 1.1649,                0.61893,                0.99949,                0.69363,                0.67579,                0.68985,                0.52943,                0.66223,                0.61931,                0.62814,                0.42192,                0.59777,                0.92642,                 0.5507,                0.91784,               0.002377,               0.002377,               0.002377
                     79,                0.69749,                 1.1584,                0.62103,                0.99906,                0.70471,                0.67118,                0.69318,                0.53136,                0.66131,                0.62827,                 0.6321,                0.42526,                0.59607,                0.92201,                0.54601,                0.91666,               0.002278,               0.002278,               0.002278
                     80,                  0.692,                 1.1513,                0.61226,                0.99781,                0.69735,                0.67837,                0.69497,                0.53204,                0.65566,                0.62476,                0.63154,                0.42423,                0.59504,                0.91209,                 0.5436,                0.91711,               0.002179,               0.002179,               0.002179
                     81,                0.68856,                 1.1412,                0.61247,                 0.9952,                0.69287,                0.67591,                0.69471,                0.53312,                0.66353,                0.62494,                0.63329,                0.42589,                0.59336,                0.91611,                0.54324,                0.91548,                0.00208,                0.00208,                0.00208
                     82,                0.68873,                 1.1461,                0.60932,                0.99577,                0.67671,                0.68791,                0.69297,                0.53349,                 0.6625,                0.61765,                0.63154,                  0.425,                0.59209,                0.91454,                0.54232,                0.91556,               0.001981,               0.001981,               0.001981
                     83,                0.68758,                 1.1488,                0.61239,                 0.9942,                0.69147,                0.68328,                0.69446,                0.53453,                 0.6489,                0.62862,                 0.6317,                0.42615,                0.58942,                0.91252,                0.54067,                 0.9148,               0.001882,               0.001882,               0.001882
                     84,                0.68156,                 1.1347,                0.60769,                 0.9912,                0.68951,                0.68973,                0.69642,                0.53481,                0.63574,                0.63558,                0.63244,                0.42742,                0.58824,                0.91005,                0.53854,                0.91452,               0.001783,               0.001783,               0.001783
                     85,                0.67985,                 1.1306,                0.60377,                0.99032,                0.68312,                0.69066,                0.69528,                0.53474,                0.62753,                0.63504,                0.62971,                0.42694,                0.58867,                0.90957,                0.53767,                0.91403,               0.001684,               0.001684,               0.001684
                     86,                0.67639,                  1.126,                0.60117,                0.98838,                0.68839,                0.68921,                0.69764,                0.53503,                0.63564,                0.63081,                0.63271,                0.42853,                0.58871,                0.90906,                0.53954,                0.91338,               0.001585,               0.001585,               0.001585
                     87,                0.67497,                 1.1193,                 0.5999,                 0.9881,                0.68811,                0.68834,                0.69818,                0.53591,                0.63201,                0.63102,                0.63444,                0.42903,                0.58784,                0.90858,                0.53923,                0.91345,               0.001486,               0.001486,               0.001486
