                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5751,                 3.4304,                 3.5093,                 1.5725,                0.69894,                0.21977,                0.21312,                0.12031,                0.66456,                0.19059,                0.17617,                0.08241,                 1.4346,                  2.334,                 2.1947,                 1.4892,              0.0033075,              0.0033075,              0.0033075
                      1,                 1.3015,                 2.3596,                 1.8674,                 1.3508,                0.64395,                0.28327,                0.28985,                0.16102,                0.62083,                0.25228,                0.24725,                0.12053,                 1.4612,                 2.6297,                 2.1208,                 1.5209,              0.0065751,              0.0065751,              0.0065751
                      2,                 1.2433,                 2.1673,                 1.5485,                 1.3075,                0.57713,                0.28531,                0.26281,                0.14513,                0.54439,                  0.234,                0.19911,                0.08319,                 1.5506,                  3.449,                 2.1844,                   1.67,              0.0097767,              0.0097767,              0.0097767
                      3,                 1.2331,                  2.132,                  1.436,                 1.3067,                0.50163,                0.37043,                0.38106,                0.22155,                 0.4298,                0.33991,                0.33783,                0.16367,                 1.2585,                  2.327,                  1.589,                 1.3707,               0.009703,               0.009703,               0.009703
                      4,                  1.169,                 1.9985,                 1.3003,                 1.2644,                0.46059,                0.42067,                0.42789,                0.26708,                0.45456,                0.37718,                0.37475,                0.19524,                 1.2192,                 2.1659,                 1.4013,                 1.3254,               0.009703,               0.009703,               0.009703
                      5,                 1.1265,                 1.9143,                 1.2097,                 1.2345,                0.54133,                 0.4073,                0.40558,                0.24944,                0.50759,                0.36817,                0.34854,                0.17257,                 1.1755,                 2.3975,                 1.3709,                 1.3116,               0.009604,               0.009604,               0.009604
                      6,                 1.0866,                 1.8609,                 1.1494,                 1.2149,                0.53409,                0.44922,                0.46722,                0.29762,                0.50248,                0.42191,                0.42784,                0.23464,                 1.1178,                 1.6923,                  1.122,                 1.2488,               0.009505,               0.009505,               0.009505
                      7,                 1.0541,                 1.7747,                 1.0852,                 1.1967,                0.74378,                0.46225,                0.49701,                0.32774,                0.74476,                0.43322,                0.46067,                0.26131,                 1.0423,                 1.6454,                 1.0525,                 1.1954,               0.009406,               0.009406,               0.009406
                      8,                 1.0403,                 1.7566,                 1.0525,                  1.188,                0.55815,                0.48244,                0.50893,                0.33271,                0.50767,                0.44697,                0.46056,                0.25783,                 1.0256,                  1.554,                 1.0292,                 1.1805,               0.009307,               0.009307,               0.009307
                      9,                 1.0172,                 1.7185,                 1.0202,                  1.175,                0.57841,                0.48243,                0.50346,                0.32906,                0.58175,                0.46254,                0.46401,                0.26377,                 1.0774,                 1.6304,                 1.0831,                 1.2351,               0.009208,               0.009208,               0.009208
