                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0766,                0.98586,                0.92288,                0.71596,                 0.6878,                 0.7347,                0.54222,                0.98464,                0.83947,                 0.8967,               0.006634,               0.006634,               0.006634
                     37,                 1.0701,                0.97728,                0.92171,                0.71748,                0.68896,                0.73565,                0.54355,                0.98373,                0.83698,                0.89631,               0.006535,               0.006535,               0.006535
                     38,                 1.0699,                0.97077,                0.92094,                0.72029,                0.68468,                0.73663,                 0.5448,                0.98312,                 0.8341,                0.89586,               0.006436,               0.006436,               0.006436
                     39,                 1.0694,                0.96674,                0.92147,                0.71824,                 0.6875,                0.73785,                0.54572,                0.98245,                0.83168,                0.89539,               0.006337,               0.006337,               0.006337
                     40,                 1.0634,                 0.9628,                0.91961,                0.72084,                0.68903,                0.73963,                0.54692,                0.98196,                0.82881,                0.89506,               0.006238,               0.006238,               0.006238
                     41,                 1.0618,                 0.9563,                0.91783,                0.69702,                 0.7116,                0.74072,                0.54787,                0.98117,                0.82613,                 0.8947,               0.006139,               0.006139,               0.006139
                     42,                 1.0632,                0.95297,                0.91979,                0.70413,                0.71132,                0.74225,                0.54886,                0.98032,                0.82322,                 0.8944,                0.00604,                0.00604,                0.00604
                     43,                 1.0602,                 0.9513,                 0.9183,                0.72056,                0.69944,                0.74405,                0.55016,                0.97926,                0.82075,                0.89405,               0.005941,               0.005941,               0.005941
                     44,                 1.0575,                0.94423,                0.91779,                0.72821,                0.69546,                0.74527,                0.55138,                0.97805,                0.81812,                0.89361,               0.005842,               0.005842,               0.005842
                     45,                 1.0557,                0.94032,                0.91699,                0.72234,                0.70154,                0.74633,                0.55279,                0.97673,                0.81522,                0.89324,               0.005743,               0.005743,               0.005743
