                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.75359,                 1.2517,                 0.6676,                 1.0234,                0.70863,                0.63044,                0.66686,                0.49181,                0.63472,                0.58055,                0.59701,                0.39111,                0.68646,                 1.0485,                0.62439,                0.96432,              0.0071538,              0.0071538,              0.0071538
                     26,                0.75008,                 1.2343,                0.66192,                 1.0209,                0.73156,                0.63956,                0.67718,                0.50021,                0.65621,                0.58777,                0.60736,                0.39102,                   0.69,                  1.033,                0.60265,                0.96298,                0.00703,                0.00703,                0.00703
                     27,                0.74735,                 1.2355,                0.66093,                 1.0202,                0.68758,                0.64429,                0.66738,                0.48966,                0.60841,                0.60083,                0.59986,                0.39188,                0.68484,                 1.0334,                0.61634,                0.96075,              0.0069063,              0.0069063,              0.0069063
                     28,                0.74184,                 1.2142,                0.65936,                 1.0176,                0.65917,                0.66541,                0.67778,                0.50109,                0.64705,                0.60155,                0.61413,                0.39852,                0.67622,                 1.0146,                0.60126,                0.95783,              0.0067825,              0.0067825,              0.0067825
                     29,                0.74188,                 1.2076,                0.65667,                 1.0162,                0.66821,                0.66789,                0.67153,                0.49826,                0.62125,                0.60217,                0.60436,                0.39191,                0.67121,                 1.0094,                0.60481,                0.95926,              0.0066587,              0.0066587,              0.0066587
                     30,                0.74263,                 1.2293,                0.65492,                 1.0187,                0.69771,                0.66758,                0.68654,                0.50721,                0.66084,                0.59621,                0.62178,                0.40296,                0.67354,                 1.0025,                 0.6104,                 0.9588,               0.006535,               0.006535,               0.006535
                     31,                0.73572,                 1.2108,                0.65314,                 1.0158,                0.68714,                 0.6554,                0.68019,                0.50391,                0.62226,                0.59885,                0.61029,                0.39947,                0.66695,                0.99938,                0.60015,                0.95177,              0.0064112,              0.0064112,              0.0064112
                     32,                0.73587,                 1.2168,                0.64867,                 1.0141,                0.68928,                0.67106,                0.67799,                0.50551,                0.63534,                0.62926,                0.62742,                 0.4067,                0.66301,                0.99837,                0.59309,                0.95407,              0.0062875,              0.0062875,              0.0062875
                     33,                0.73771,                 1.2093,                0.65545,                 1.0181,                0.70014,                0.66049,                0.68723,                0.50715,                  0.638,                0.61301,                 0.6228,                0.40647,                0.66557,                0.99948,                0.59937,                0.94921,              0.0061637,              0.0061637,              0.0061637
                     34,                0.73144,                 1.2032,                  0.646,                 1.0115,                0.67288,                0.66647,                0.67978,                0.50762,                0.65669,                0.59015,                0.61156,                0.40307,                0.67113,                0.99326,                 0.5947,                0.95462,                0.00604,                0.00604,                0.00604
                     35,                0.73008,                 1.2095,                 0.6432,                 1.0117,                0.71371,                0.66443,                0.68885,                0.51273,                0.63948,                0.62073,                0.62096,                0.40875,                0.65374,                0.99521,                  0.585,                0.94838,              0.0059163,              0.0059163,              0.0059163
                     36,                0.72611,                 1.1934,                0.64295,                 1.0076,                0.64932,                0.67588,                0.68486,                0.51347,                0.64266,                0.60617,                 0.6181,                0.40752,                0.65865,                0.99925,                0.59008,                0.94764,              0.0057925,              0.0057925,              0.0057925
                     37,                0.72322,                 1.1894,                0.63908,                 1.0078,                0.67696,                0.66079,                0.67915,                0.50906,                0.64263,                0.60248,                0.61422,                0.40474,                0.64973,                0.98369,                0.58178,                0.93945,              0.0056688,              0.0056688,              0.0056688
                     38,                0.71954,                 1.1768,                 0.6346,                 1.0062,                0.70257,                0.67321,                0.69047,                0.51348,                0.63258,                0.62615,                0.61936,                0.40991,                0.63287,                0.97909,                0.57471,                0.93787,               0.005545,               0.005545,               0.005545
                     39,                0.71909,                 1.1755,                 0.6322,                 1.0046,                0.70844,                 0.6635,                0.68364,                 0.5189,                0.64692,                0.62509,                0.62515,                0.41748,                0.63183,                0.97122,                0.56492,                0.92905,              0.0054212,              0.0054212,              0.0054212
